title,Energy,Calories,Fat,Saturated Fat,Carbohydrate,Sugar,Dietary Fiber,Protein,Cholesterol,Sodium,prepTime,averageRating,ratingsCount,favoritesCount,Fish,Gluten free,British,American,Mexican,Italian,Seafood,Quick,Contains shellfish,Child friendly,Traditional,Crustacean,Veggie,Beef,Poultry,Pork,Vietnamese,Peanuts,Organic,Vegan,Rapid,Indonesian,Russian,German,Lebanese,European,Moroccan,Mediterranean,Middle eastern,Shellfish,Japanese,Carb Smart,Easy,Eat First,North African,maybe allergens,Burger,Korean,Asian,Spicy,Extra spicy,Family friendly,Latin,Chinese,Filipino,Hawaiian,Australian,Nordic,African,Fusion,Tree Nut,Peanut,Turkish,Greek,Indian,Under 30 Minutes,Molluscs,Milk,Egg,Dairy free,Thai,Spanish,Cuban,Caribbean,French,Irish,One Pan,One Pot,Chefs Choice,Sulphites,Soy,Traces of Egg,Traces of Nut,Wheat,Mustard,Sesame,Hall of Fame
Sweet Soy Glazed Steak Tacos,3347,800,34,9,89,31,3,40,100,1150,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harissa Sweet Potato Pockets,3096,740,42,7,84,11,15,14,25,600,30,3.8,9,305,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creamy Dill Chicken,1925,460,20,8,33,5,6,34,130,410,30,3.8,18,1373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipotle Chicken & Rice Bowls,2761,660,25,10,71,10,6,36,140,300,35,4,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pork and Veggie Bibimbap,3305,790,37,10,78,14,4,30,95,1190,30,3.8,13,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spicy Maple Chicken,2971,710,31,12,67,25,8,41,160,360,35,4,5,460,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Fudgy Brownies,669,160,6,2.5,23,15,1,2,15,65,20,3.4,590,449,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisian Mushroom Stuffed Peppers,2803,670,38,16,68,10,7,17,65,1050,35,3.5,771,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso Pork Burgers,3933,940,51,15,83,10,8,36,125,1200,35,4,8,495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispy Cheddar Chicken,4310,1030,68,27,41,5,6,54,240,950,40,3.9,28,2157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Pork & Apple Meatloaves,3054,730,42,17,59,20,8,29,135,430,45,3.6,7,1035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultimate BLT Burgers with Herby Aioli,6862,1640,120,35,87,14,10,56,255,2480,40,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheesy Onion Crunch Chicken,3012,720,40,18,51,15,8,38,165,500,30,3.8,12,1817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
