prep_time,energy,calories,fat,sat_fat,carbs,sugar,fiber,protein,cholesterol,sodium,rating,rating_count
45,2385,570,28,16,70,6,4,13,60,710,3.4,2172
25,2845,680,37,13,72,9,7,27,50,940,3.4,190
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
40,3012,720,28,11,90,42,4,32,140,1690,3.4,219
50,3473,830,41,18,78,30,10,35,130,940,3.4,418
40,4142,990,65,31,63,22,9,42,225,750,3.4,351
35,3054,730,38,14,58,14,3,40,130,390,3.5,1217
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
35,4393,1050,41,17,120,18,25,29,65,840,3.6,2360
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
40,3264,780,39,15,68,36,7,39,150,330,3.5,2016
30,3180,760,29,11,80,9,7,46,145,460,3.6,6686
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
35,2929,700,31,10,66,21,10,39,135,480,3.5,4613
45,3222,770,36,16,63,15,4,38,160,810,3.5,2985
45,2301,550,26,9,67,6,3,12,30,550,3.4,2507
30,3138,750,43,22,48,9,6,35,100,980,3.4,2992
35,2845,680,38,16,43,10,9,40,145,620,3.7,1344
55,3264,780,38,15,70,11,5,49,135,1850,3.5,182
25,2971,710,40,11,55,4,4,36,110,400,3.5,1949
30,3473,830,40,20,80,9,8,43,190,430,3.4,1131
20,3473,830,41,18,63,19,6,37,120,1010,3.4,6217
50,3807,910,42,20,73,28,11,57,235,770,3.5,1049
30,3054,730,32,13,58,14,6,37,110,1230,3.5,2315
30,2092,500,25,12,48,9,5,18,75,1050,3.5,4613
30,2552,610,27,8,61,26,8,35,150,420,3.5,4323
30,3389,810,49,22,51,10,3,39,145,1190,3.4,3467
40,2929,700,29,9,71,29,11,39,115,430,3.2,367
30,4058,970,59,17,77,5,6,38,100,1290,3.4,1135
20,3012,720,39,18,53,15,8,34,135,830,3.5,1052
40,2845,680,37,16,49,11,7,35,120,970,3.4,4133
35,3347,800,49,20,73,12,7,19,85,880,3.3,640
35,2594,620,36,13,56,14,14,20,50,470,3.4,3730
45,2385,570,25,10,41,10,7,44,150,500,3.5,603
30,2803,670,34,12,56,6,6,38,95,810,3.4,4567
45,3473,830,40,18,75,25,9,43,180,510,3.4,1089
30,3849,920,43,14,84,29,7,33,120,860,3.4,1344
40,3766,900,60,20,38,6,7,52,135,890,3.9,15
35,3389,810,36,12,87,9,6,36,145,550,3.5,2111
30,3264,780,37,9,77,12,4,30,95,1180,4.0,14
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
30,3556,850,52,13,54,8,11,49,150,640,3.5,5469
45,4142,990,50,24,95,16,7,46,160,1160,3.5,11794
30,3724,890,48,19,64,11,6,39,140,700,3.4,4098
40,2678,640,26,10,56,18,11,50,230,350,3.4,1190
45,4226,1010,51,17,92,14,8,49,130,1060,3.5,699
40,2971,710,35,6,66,28,10,42,100,810,3.6,2232
20,2845,680,30,11,90,13,10,19,45,990,3.3,963
25,3473,830,56,12,62,6,4,19,40,910,3.4,3282
35,3222,770,28,11,81,9,16,45,120,1620,3.2,237
20,3012,720,41,16,50,5,7,33,125,410,3.5,8320
35,3347,800,37,14,81,30,5,33,115,1350,3.5,6859
40,2803,670,34,16,44,13,9,45,185,520,3.6,7017
30,2761,660,31,15,44,9,6,38,315,1630,3.5,1173
35,4393,1050,60,19,69,22,7,35,115,1190,3.5,1710
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
35,3305,790,39,18,88,16,9,24,70,1410,3.5,1234
45,3096,740,39,14,66,24,10,32,110,880,3.4,3341
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
25,2803,670,27,11,50,11,4,41,110,1150,3.5,4702
30,2971,710,29,8,70,11,6,40,125,1940,3.5,2189
35,3807,910,42,10,94,23,4,29,95,1840,3.5,4761
35,2427,580,23,7,52,21,7,40,135,290,3.5,12116
30,3305,790,30,15,111,16,9,25,60,580,3.2,1564
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
40,3012,720,41,21,47,12,7,40,170,680,3.6,1684
20,3682,880,53,18,60,13,3,40,160,890,3.5,1640
35,3264,780,40,17,61,21,4,46,145,440,3.4,3554
20,2929,700,35,12,55,23,5,42,130,370,3.4,3753
50,3724,890,46,17,66,4,3,53,190,1260,3.6,1318
30,2803,670,48,11,53,14,10,36,110,560,3.5,2275
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
25,2510,600,26,9,60,14,3,34,135,930,3.5,1757
30,2385,570,16,6,60,14,3,39,135,520,3.5,65
20,3389,810,45,18,50,14,2,35,120,1480,3.6,6370
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,3305,790,41,16,63,20,5,42,140,770,3.3,614
30,2092,500,22,5,34,5,7,40,130,410,3.5,2908
35,2971,710,41,16,70,10,7,21,65,840,3.5,1163
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
35,2929,700,34,16,46,5,4,51,185,720,3.6,1000
30,2301,550,22,8,48,15,7,37,130,310,3.8,62
30,2720,650,27,10,59,26,3,39,150,280,3.5,920
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
35,3640,870,47,18,54,10,5,53,185,990,3.3,2705
30,4017,960,43,15,98,15,25,35,45,1330,3.3,1801
40,2720,650,30,9,78,14,13,23,30,590,3.4,1203
30,3180,760,40,22,80,10,4,22,95,360,3.6,4468
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
30,2301,550,21,7,59,11,4,34,80,170,3.5,2378
40,2887,690,31,9,63,26,10,40,115,360,3.4,1840
35,2761,660,25,9,73,10,6,32,140,290,3.5,2785
30,3096,740,57,19,48,13,8,46,180,650,3.3,825
35,3891,930,45,19,90,21,7,43,145,910,3.6,1773
30,3054,730,32,13,58,14,6,37,110,1230,3.5,2315
